货品编号,单价,数量
883-2,2.5427,750
CSG-100,7.1196,120
2008,4.1282,100
9918,4.1282,48
Az-009b,0.7778,1680
7713,4.1282,24
2102,5.3846,900
3113,5.7877,96
1110A,9.2222,312
2062,5.0128,260
1077A,3.9316,288
1078A,8.9145,360
FP06,3.8974,96
NO.190,7.6923,240
TY-028,1.1009,3200
TY-073,1.6513,1512
TY-011,0.8256,6000
ZH101,7.8462,120
NO.308,4.7906,465
NO.307,7.6239,105
RS-387,5.8632,260
WCN-NB587,5.6239,180
WCN-NA587,4.5470,120
WCN-NA567,3.5299,320
WCN-SA587,4.6068,120
TY-060-1,3.6538,240
NO.2106,5.9230,240
NO.299,5.7393,30
NO.191,5.0855,150
E1131金,1.5962,210
C-FW,4.1282,400
NO.295,5.3248,240
SZU,5.2650,400
WCN-NB588-C2,10.1111,90
C-SPF1001,4.4872,400
NO.297,5.2991,240
MB-Z01,5.9231,80
YZ1507,2.1466,216
6817,3.2475,240
BD-322,7.1005,120
BC15020,7.9538,15
BP15904,7.9538,75
BC15007,7.9538,30
BY15315,15.9880,10
BG15908,32.0564,57
BF15635,11.9709,25
BF15632,11.9709,5
BY15316,11.9709,25
BC15001,11.9709,25
BC15023,7.9538,20
BAR004-3,4.7265,600
BAR004-2,5.3248,600
