货品编号,单价,数量
CSG-100,6.5500,120
851,4.1282,120
854,3.7979,60
1078A,8.6496,48
LLD001,3.9744,120
LLD002,2.3504,100
TY-028,1.1966,1600
TY-073,1.6513,216
ZH101,8.0513,240
YZ1269,2.6971,288
WCN-NB587,5.1740,90
WCN-SA557,2.7522,768
YF808,4.1282,300
TY-060-1,3.6538,168
887-4,4.7928,120
WCN-N1050,2.3118,192
WCN-R0080,4.8988,180
BY15318,7.9538,5
BP15904,7.9538,55
BY15312,15.9880,20
BY15315,15.9880,10
BY15307,15.9880,25
BY15309,15.9880,20
BJ15902,15.9880,30
BG15910,32.0564,30
BH15929,32.0564,20
BY15304,15.9880,25
BF15632,11.9709,20
BP15903,7.9538,100
BAR004-7,9.3022,240
