货品编号,单价,数量
883-2,2.9316,-2.000
TK909,15.3582,-6.000
128-I,5.6026,-62.000
2028,3.5897,-1.000
988-24,7.7778,-94.000
AB03 ,5.6025,-1.000
Az-009b,0.7778,-1.000
141,1.9829,-1.000
CDS,2.5983,-2.000
1160,2.9316,0.000
7713,4.4872,-2.000
2102,5.3846,-31.000
2013A,9.5128,-2.000
1110A,9.2222,-64.000
TK705,8.0385,-2.000
1077A,4.1282,-73.000
1078A,8.9145,-3.000
LLD001,4.3975,-1.000
1115A,2.6923,-167.000
NO.202,4.1282,-72.000
C-SOC,6.8205,-2.000
1330,2.8333,-1.000
TY-077,3.2333,-175.000
TY-091,2.4664,-27.000
ZH101,7.8462,-1.000
LM-K932,0.8120,-365.000
NO.306,3.5043,-30.000
RS-387,5.8632,-11.000
988-36,12.0984,-135.000
YZ1269,2.9316,-1.000
WCN-NB587,5.6239,-2.000
WCN-NA547,2.0299,-288.000
CH6710,6.4145,-1.000
TY-060-1,3.7693,-1.000
NO.2106,5.9230,0.000
RS-DWT,3.2965,-1.000
E1541,1.4359,-1.000
E1131金,1.5962,-1.000
C-FW,4.1282,-57.000
C-SFI,5.9231,-4.000
SZA,7.7735,-202.000
2221,12.9103,-4.000
H-893,4.0000,-137.000
6215-4,16.3282,-81.000
NO.295,5.3248,-1.000
BON001-1,8.9744,-25.000
SZU,5.2650,-20.000
WSQS,7.0455,-1.000
BA66,4.7265,-52.000
C-SFI007A/B,6.8923,-1.000
CZC001I-A/B,5.6025,-1.000
818,22.6783,-9.000
905-12,6.4103,-2.000
MB-955-2,5.9231,-1.000
CLLL0004I,1.7350,-73.000
LS1082A,5.6026,-316.000
YZ1507,2.1466,-2.000
2017A2555,19.6838,-44.000
NO.501,4.1026,0.000
NO.2031,5.3077,-3.000
2223,14.8858,-1.000
3558,8.0385,-24.000
3568,12.9103,-1.000
BD-180,7.7179,-1.000
BD-191,9.3022,-1.000
6817,3.2475,-78.000
YZ1429,3.2475,-4.000
BL-061,10.7094,-18.000
BD-322,7.1005,-14.000
RS-JXYZB,0.8974,-530.000
WB-558,8.8205,-203.000
GS,2.0342,-1.000
BY15313,19.7436,-2.000
BG15910,35.2991,-2.000
BAR004-5,5.9231,-3.000
BAR004-1,5.9231,-14.000
BAR004-4,5.3248,-74.000
BAR001-3,10.1111,-3.000
BAR001-6,5.3248,-32.000
BAR002-2,11.3077,-15.000
F2-238,3.4593,-20.000
YH-RSHZB-4 ,7.7846,-4.000
YH-RSZXB-4,8.9012,-14.000
RS-LH,2.5791,-1.000
RS-YYL-1,9.4304,-2.000
RT-0020,2.2335,-1.000
83005,9.6752,-22.000
