货品编号,单价,数量
2008,3.7692,-1.000
9918,3.7692,-6.000
TK909,15.3582,-32.000
128-I,5.6026,-37.000
2028,3.5897,-3.000
854,3.7979,-5.000
3514,15.6496,-1.000
LV-006d,2.6923,-2.000
Az-009b,0.7778,-1.000
TDS,4.3077,-1.000
1160,2.7607,-1.000
LB0033,2.8718,-2.000
2102,4.7906,-1.000
2013A,7.1346,-2.000
1110A,9.2222,-7.000
2062,5.2991,-1.000
1077A,4.1282,-3.000
1078A,8.9145,-27.000
LLD001,4.3975,-7.000
LLD002,3.0489,-5.000
1115A,2.6923,-182.000
101001,2.3983,-38.000
C-SOC,6.6051,-5.000
D001,1.4800,-1.000
1330,2.8333,-1.000
NO.190,7.6154,-1.000
TY-077,3.2333,-60.000
TY-059,4.9838,-11.000
TY-066,0.8119,-98.000
TY-073,1.6513,-1.000
TY-011,0.8256,-2.000
ZH6151,5.8119,-79.000
LM-K932,0.8120,-4.000
MES-B5 60,8.5470,-6.000
988-36,12.0984,-40.000
YZ1269,2.9316,-5.000
WCN-NB547,3.2307,-1.000
WCN-NA537,1.9145,-11.000
WCN-SA757,1.0532,-1.000
YF808,4.1282,-1.000
ZH6161,6.7068,-2.000
CH6710,6.4145,-1.000
NO.2106,5.7393,-3.000
CH6700,7.1923,-4.000
3522-10,11.3077,-2.000
E1541,1.4359,-2.000
E1131金,1.5962,-3.000
C-FW,3.7979,-9.000
C-SEK,4.3484,-3.000
2221,12.6048,-10.000
H-893,4.0000,-115.000
6215-4,16.3282,-16.000
887-4,4.7928,-2.000
NO.194,4.3590,-1.000
NO.295,5.0585,-1.000
CSC020,4.2934,-1.000
C-SEK001I,4.3484,-1.000
SZU,4.8438,-3.000
C-SFI007A/B,6.8923,-1.000
CZC001I-A/B,5.9231,-2.000
WCN-DS6000,9.1538,-65.000
MB-955-1,7.1197,-1.000
WCN-NB588-C2,9.9230,-1.000
905-12,6.4103,-8.000
YZ3601,8.3047,-2.000
WCN-R0080,5.3248,-2.000
CFC0006I,1.0459,-1.000
C-SDCY,2.9316,-3.000
LS1082A,5.6026,-171.000
TK718,14.0131,-17.000
YZ1507,2.1466,-2.000
2017A2555,19.6838,-41.000
BD-180,7.7179,-33.000
6817,3.2475,-4.000
YZ1429,3.2475,-3.000
BL-057,13.1552,-1.000
BL-061,10.7094,-3.000
F1-056-D,6.4100,-14.000
ZZ0112-01,3.7979,-1.000
RS-HZXP,0.8256,-9.000
BC15022,8.8068,-2.000
BH15901,29.3162,-1.000
BAR004-2,5.3248,-1.000
BAR004-1,5.9231,-5.000
RT0056,4.3484,-2.000
RT0015,3.2475,-17.000
RT0301,5.4493,-15.000
RT0202,5.4493,-2.000
RT0106,4.3484,-4.000
RT0009,5.4493,-11.000
RT0001,4.3484,-1.000
RT0003,5.4493,-1.000
YH-RSHZB-4 ,7.7846,-80.000
YH-RSZXB-4,8.9012,-18.000
RS-LH,2.5791,-2.000
RS-YYL-2,9.9573,-6.000
RS-YYL-1,9.4304,-13.000
83049,21.1282,-1.000
CADPKT-028-CH,20.0427,-1.000
CATRMK-001-CH,12.5983,-6.000
