货品编号,单价,数量
2008,3.7692,-6.000
9918,3.7692,-5.000
TK909,15.3582,-20.000
128-I,5.6026,-1.000
854,3.7979,-5.000
AB03 ,5.6025,-116.000
Az-009b,0.7778,-8.000
1160,2.9316,-3.000
7713,4.4872,-2.000
LB0033,2.8718,-8.000
2102,4.7906,-48.000
1295,1.3760,-3.000
2062,5.0128,-1.000
TK705,7.6068,-12.000
1077A,4.1282,-100.000
1078A,8.6496,-9.000
LLD001,3.9744,-1.000
LLD002,2.3504,-9.000
1115A,2.6923,-9.000
101001,2.6068,-26.000
83001,11.7949,-14.000
C-SOC,6.6051,-2.000
82004,3.7744,-24.000
1330,2.9316,-4.000
TY-077,3.2333,-30.000
TY-059,4.9838,-1.000
TY-066,0.8119,-643.000
TY-073,1.7949,-2.000
ZH6151,5.8119,-40.000
LM-K932,0.8616,-529.000
NO.308,4.7906,-3.000
RS-387,5.3941,-1.000
988-36,12.0984,-54.000
YZ1269,2.9316,-12.000
WCN-NA557,2.8718,-1.000
WCN-NA657,1.6154,-1.000
WCN-SA557,2.7522,-2.000
YF808,4.1282,-1.000
TY-060-1,3.6538,-1.000
NO.191,4.7222,-1.000
RS-DWT,3.1924,-6.000
RS-WT2,5.4493,-1.000
CH6700,7.1923,-13.000
B-560-11,8.4120,-1.000
E1541,1.3210,-4.000
C-FW,3.7979,-1.000
H-893,4.0000,-96.000
NO.295,5.0585,-12.000
CSFE001I,4.8438,-2.000
BA66,4.7265,-2.000
C-SFI007A/B,6.8923,-11.000
CZC001I-A/B,5.4493,-5.000
831,6.8461,-2.000
WCN-DS6000,9.1538,-2.000
WCN-G580AK,6.5501,-3.000
YZ3601,8.3047,-8.000
C-SPY003V,4.8988,-2.000
C-MNJP,5.5385,-1.000
C-HDQB,5.9231,-1.000
TK718,12.0800,-1.000
YZ1507,2.1466,-4.000
2017A2511,16.1624,-4.000
2017A4077,11.9658,-7.000
2017A1655,29.8547,-1.000
6817,3.2475,-53.000
YZ1429,3.2475,-24.000
BL-057,13.1552,-19.000
BL-061,10.7094,-43.000
LT6201-01,3.9786,-4.000
E1046,7.1595,-36.000
F1-056-D,6.4100,-30.000
ZZ0112-01,4.1282,-1.000
RS-HZXP,0.8974,-49.000
CGWS,2.0342,-1.000
BY15305,18.1641,-1.000
BY15313,18.1641,-1.000
BF15611,17.3504,-1.000
BAR004-2,5.3248,-2.000
BAR004-6,5.3248,-1.000
BAR004-4,5.3248,-2.000
BAR001-5,8.9145,-28.000
BAR002-3,17.8889,-30.000
BAR002-2,11.3077,-4.000
RT0056,4.3484,-1.000
RT0301,5.4493,-2.000
RT0202,5.4493,-1.000
RT0057,5.4493,-3.000
RT0106,4.3484,-4.000
RT0009,5.4493,-4.000
RT0003,5.4493,-5.000
YH-RSHZB-4 ,7.7846,-29.000
YH-RSZXB-4,8.9012,-54.000
RS-YYL-2,9.9573,-54.000
TK607-1,24.5667,-12.000
cp-bar001,17.8575,-1.000
cp-bar006,10.4817,-1.000
CADPKT-027-CH,20.0427,-1.000
CATRMK-001-CH,12.5983,-1.000
J-84660,7.3077,-2.000
YZ1515,2.0043,-2.000
