货品编号,单价,数量
3501,11.2650,-3.000
2008,4.1282,-5.000
TK909,15.3582,-53.000
128-I,5.6026,-1.000
988-24,7.7778,-154.000
1017,8.2013,-1.000
3514,15.6496,-8.000
AB03 ,5.6025,-208.000
LV-006d,2.6923,-2.000
Az-009b,0.7778,-13.000
7713,4.4872,-4.000
LB0033,2.8718,-2.000
2013A,9.5128,-3.000
1110A,9.2222,-64.000
TK705,8.0385,-13.000
1077A,4.1282,-40.000
1078A,8.9145,-50.000
LLD001,4.3975,-17.000
LLD002,3.0489,-13.000
1115A,2.6923,-598.000
NO.202,4.1282,-524.000
83001,11.7949,-14.000
C-SOC,6.8205,-2.000
FP06,3.8974,-1.000
D001,1.4800,-11.000
TY-077,3.2333,-302.000
TY-084,8.0913,-4.000
TY-059,4.9838,-14.000
TY-066,0.8119,-105.000
TY-091,2.4664,-24.000
TY-011,0.8256,-5.000
ZH101,7.8462,-2.000
ZH6151,5.8119,-212.000
LM-K932,0.8120,-76.000
NO.308,5.2991,-3.000
NO.306,3.5043,-406.000
RS-400,3.4700,-2.000
988-36,12.0984,-428.000
YZ1269,2.9316,-22.000
WCN-NB587,5.6239,-1.000
WCN-NA547,2.0299,-198.000
WCN-NA557,2.8718,-4.000
WCN-SA557,2.9915,-101.000
WCN-SA657,1.7949,-1.000
WCN-SA757,1.1448,-22.000
RS-3424,2.8677,-887.000
YF808,4.4872,-2.000
ZH6161,6.7068,-4.000
CH6710,6.4145,-36.000
TY-060-1,3.7693,-1.000
NO.2106,5.9230,-22.000
RS-DWT,3.2965,-1.000
RS-WT2,5.9231,-9.000
CH6700,7.1923,-3.000
3522-10,11.3077,-1.000
B-560-11,8.4120,-76.000
E1541,1.4359,-2.000
C-FW,4.1282,-2.000
C-SFI,5.9231,-8.000
SZA,7.7735,-171.000
2221,12.9103,-34.000
H-893,4.0000,-107.000
SAU001-8,5.6496,-4.000
6215-4,16.3282,-102.000
NO.194,4.3590,-2.000
NO.295,5.3248,-1.000
C-SEO202I,5.9231,-22.000
C-SEK001I,4.7265,-2.000
BON001-1,8.9744,-79.000
CSFE001I,5.2650,-1.000
SZU,5.2650,-1.000
BA66,4.7265,-798.000
C-SFI007A/B,6.8923,-7.000
CZC001I-A/B,5.6025,-6.000
WCN-TFB2610,6.9773,-1.000
831,6.8461,-1.000
818,22.6783,-6.000
MB-959-1,45.3846,-1.000
MB-953-1,9.9232,-3.000
MB-955-1,7.1197,-5.000
905-12,6.4103,-13.000
MB-955-2,5.9231,-8.000
WCN-G580AK,6.8461,-3.000
YZ3601,8.4892,-8.000
C-SPF1001,4.4872,-2.000
CLLL0004I,1.7350,-96.000
C-HDQB,5.9231,-14.000
C-SDCY,2.9316,-13.000
6101,59.6581,-1.000
LS1082A,5.6026,-769.000
TK718,14.0131,-1.000
TK1605,20.5000,-19.000
YZ1507,2.1466,-3.000
MB-B01S,3.5299,-3.000
2017A2555,19.6838,-183.000
NO.2031,5.3077,-2.000
2223,14.8858,-16.000
6300-24,10.7154,-1.000
3558,8.0385,-82.000
3568,12.9103,-124.000
