货品编号,单价,数量
3501,11.2650,-1.000
TK909,15.3582,-33.000
128-I,5.6026,-60.000
988-24,7.5644,-170.000
1023,5.4493,-1.000
3514,15.6496,-1.000
AB03 ,5.6025,-101.000
LV-006d,2.6923,-4.000
1160,2.9316,-1.000
7713,4.4872,-4.000
LB0033,2.8718,-3.000
2102,5.3846,-1.000
2013A,7.1346,-8.000
1110A,9.2222,-5.000
1077A,4.1282,-10.000
1078A,8.9145,-17.000
1115A,2.6923,-110.000
NO.202,4.1282,-13.000
101001,2.3983,-1.000
FP06,3.8974,-3.000
82004,3.7744,-1.000
1330,2.8333,-2.000
TY-084,7.2222,-2.000
TY-066,0.8119,-287.000
TY-091,2.4664,-13.000
ZH101,7.8462,-1.000
LM-K932,0.8120,-9.000
NO.308,5.2991,-3.000
NO.306,3.5043,-39.000
RS-400,2.9060,-1.000
988-36,12.0984,-26.000
YZ1269,2.9316,-14.000
WCN-NA547,2.0299,-85.000
WCN-NA557,2.8718,-1.000
WCN-SA787,1.9145,-8.000
RS-3424,2.8677,-785.000
CH6710,6.4145,-25.000
RS-WT2,5.4493,-2.000
CH6700,7.1923,-2.000
3522-10,11.3077,-1.000
B-560-11,8.4120,-6.000
C-FW,3.7979,-22.000
C-SFI,5.9231,-11.000
6215-4,16.3282,-62.000
887-4,5.3248,-2.000
NO.194,4.3590,-1.000
BA66,4.7265,-4.000
CZC001I-A/B,5.9231,-34.000
CSG-250,9.8526,-1.000
MB-959-3,39.7863,-28.000
MB-959-1,45.3846,-32.000
MB-953-1,9.9232,-3.000
905-12,6.4103,-26.000
MB-955-2,5.4493,-8.000
WCN-N1050,2.3118,-2.000
CLLL0004I,1.7350,-47.000
C-SDCY,2.9316,-46.000
2017A2511,16.1624,-4.000
2017A4077,11.9658,-2.000
2017A2555,19.6838,-130.000
2223,14.8858,-5.000
6300-24,10.7154,-8.000
3568,12.9103,-15.000
BD-191,9.3022,-18.000
6817,3.2475,-5.000
YZ1429,3.2475,-8.000
BL-057,13.3105,-6.000
BL-061,10.7094,-51.000
LT6201-01,3.9786,-4.000
BD-322,7.1005,-32.000
RS-JXYZB,0.8974,-323.000
WB-558,8.8205,-60.000
BY15305,18.1641,-2.000
BY15315,19.8154,-2.000
BY15304,18.1641,-2.000
BC15001,14.3112,-5.000
BP15903,11.3675,-4.000
BAR004-5,5.9231,-1.000
BAR004-7,9.3022,-2.000
BAR004-1,5.9231,-5.000
BAR004-6,5.3248,-6.000
BAR004-4,5.3248,-8.000
BAR001-4,6.5214,-14.000
BAR002-3,17.8889,-11.000
BAR002-2,11.3077,-16.000
RT0218,5.4493,-1.000
RT0302,5.4493,-2.000
YH-RSZXB-4,8.9012,-59.000
SL-KS,3.6328,-78.000
RS-XLSL,13.3462,-1.000
RS-TTSL,10.7692,-1.000
RS-YYL-2,9.9573,-30.000
RS-YYL-1,9.4304,-18.000
83049,21.1282,-10.000
83062,15.4017,-10.000
cp-bar004 ,17.8575,-1.000
cp-bar002,10.4817,-1.000
cp-bar001,17.8575,-8.000
CATRMK-001-CH,12.5983,-6.000
2017A4055,14.2991,-4.000
