货品编号,单价,数量
3501,10.4975,-1.000
883-2,2.5427,-1.000
CSG-100,6.5500,-1.000
2008,3.7692,-10.000
9918,3.7692,-10.000
TK909,15.3582,-27.000
128-I,5.6026,-3.000
2028,3.5897,-3.000
988-24,7.5644,-5.000
3514,15.6496,-1.000
AB03 ,5.6025,-2.000
Az-009b,0.7778,-3.000
1160,2.7607,-2.000
2013A,7.1346,-5.000
1110A,9.2222,-1.000
2062,5.0128,-26.000
TK705,7.6068,-16.000
1077A,4.1282,-1.000
LLD001,3.9744,-1.000
LLD002,2.3504,-1.000
1115A,2.6923,-202.000
83001,11.7949,-38.000
C-SOC,6.6051,-1.000
TY-077,3.2333,-13.000
TY-066,0.8119,-1.000
TY-091,2.4664,-19.000
TY-011,0.8256,-2.000
ZH6151,5.8119,-13.000
LM-K932,0.8120,-1.000
988-36,12.0984,-1.000
YZ1269,2.6971,-2.000
WCN-SA587,4.6068,-6.000
WCN-SA757,1.0532,-1.000
WCN-SA787,1.9145,-179.000
RS-3424,2.8677,-83.000
CH6710,6.4145,-2.000
RS-WT2,5.4493,-1.000
CH6700,7.1923,-1.000
3522-10,11.3077,-1.000
E1541,1.3210,-2.000
E1131金,1.5962,-1.000
C-FW,3.7979,-1.000
C-SFI,5.9231,-3.000
C-SEK,4.3484,-1.000
SZA,7.7735,-1.000
2221,12.6048,-5.000
H-893,4.0000,-42.000
SAU001-8,5.1976,-2.000
6215-4,16.3282,-5.000
NO.194,4.1880,-1.000
CSC020,4.2934,-1.000
CSFE001I,4.8438,-1.000
C-SFI007A/B,6.8923,-5.000
MB-953-1,9.9232,-2.000
MB-955-1,6.5501,-2.000
905-12,6.4103,-2.000
MB-955-2,5.4493,-1.000
YZ3601,8.3047,-1.000
C-SPY003V,4.8988,-1.000
C-SDCY,2.9316,-3.000
LS1082A,5.6026,-44.000
MB-B01S,3.2475,-1.000
2017A2511,16.1624,-1.000
2017A4077,11.9658,-3.000
2017A2555,19.6838,-22.000
NO.2031,5.3077,-16.000
2223,14.8065,-1.000
3568,12.9103,-45.000
BD-180,7.7179,-20.000
BD-191,8.3720,-1.000
6817,3.2475,-3.000
YZ1429,3.2475,-7.000
BL-057,13.1552,-16.000
BL-061,10.7094,-23.000
BD-322,7.1005,-19.000
F1-056-D,6.4100,-8.000
RS-JXYZB,0.8120,-55.000
RS-HZXP,0.8256,-2.000
WB-558,8.8205,-12.000
BAR004-5,5.9231,-1.000
BAR004-7,9.3022,-12.000
BAR004-6,5.3248,-1.000
BAR001-3,10.1111,-5.000
BAR001-5,8.2013,-10.000
BAR001-1,10.1111,-5.000
BAR002-3,17.8889,-9.000
RT0202,5.4493,-2.000
RT0010,3.2475,-9.000
F2-238,3.4593,-1.000
YH-RSHZB-4 ,7.7846,-8.000
YH-RSZXB-4,8.9012,-1.000
RS-XLSL,13.3462,-1.000
RS-YYL-1,9.4304,-12.000
83002,11.3932,-12.000
CADPKT-027-CH,14.5299,-1.000
J-84660,7.3077,-23.000
650614,7.3872,-1.000
650621,8.5325,-1.000
NO.155,6.2419,-1.000
YZ1530,2.2333,-5.000
