货品编号,单价,数量
3501,11.2650,-1.000
128-I,5.6026,-29.000
2028,3.5897,-1.000
988-24,7.7778,-100.000
1023,5.9231,-12.000
AB03 ,5.6025,-2.000
LV-006d,2.6923,-1.000
Az-009b,0.7778,-605.000
1160,2.9316,-5.000
7713,4.4872,-1.000
2102,5.3846,-60.000
2013A,9.5128,-30.000
1110A,9.2222,-22.000
TK705,8.0385,-67.000
1077A,4.1282,-408.000
1078A,8.9145,-27.000
LLD001,4.3975,-1.000
1115A,2.6923,-824.000
NO.202,4.1282,-118.000
83001,11.7949,-1.000
C-SOC,6.8205,-4.000
TY-066,0.8119,-230.000
TY-011,0.8256,-463.000
ZH6151,5.8119,-65.000
LM-K932,0.8120,-673.000
NO.306,3.5043,-107.000
RS-400,3.4700,-15.000
YZ1269,2.9316,-2.000
RS-3424,2.8677,-696.000
YF808,4.4872,-1.000
ZH6161,6.7068,-74.000
CH6710,6.4145,-60.000
TY-060-1,3.7693,-2.000
RS-WT2,5.9231,-1.000
CH6700,7.1923,-7.000
B-560-11,8.4120,-60.000
E1541,1.4359,-2.000
E1131金,1.7350,-1.000
C-SFI,5.9231,-3.000
C-SEK,4.7265,-2.000
SZA,7.7735,-156.000
2221,12.9103,-8.000
H-893,4.0000,-44.000
6215-4,16.3282,-17.000
887-4,5.3248,-1.000
C-SEO202I,5.9231,-6.000
C-SEK001I,4.7265,-2.000
BON001-1,8.9744,-116.000
WSQS,7.1923,-39.000
CZC001I-A/B,5.6025,-2.000
WCN-TFB2610,6.9773,-5.000
WCN-TCF6110,1.9744,-1.000
831,6.8461,-1.000
MB-953-1,9.9232,-1.000
MB-955-1,7.1197,-3.000
905-12,6.4103,-113.000
MB-955-2,5.9231,-1.000
YZ3601,8.4892,-1.000
C-SC-031,5.3846,-1.000
CFC0006I,1.0459,-1.000
TK1605,20.5000,-1.000
YZ1507,2.1466,-18.000
2223,14.8858,-2.000
3558,8.0385,-57.000
BD-180,7.7179,-18.000
BD-191,9.3022,0.000
6817,3.2475,-18.000
YZ1429,3.2475,-2.000
BL-057,13.3105,-44.000
BL-061,10.7094,-24.000
RS-JXYZB,0.8974,-3.000
RS-HZXP,0.8256,-23.000
WB-558,8.8205,-45.000
GS,2.0342,-1.000
CGWS,2.0342,-77.000
BAR004-7,10.1111,-1.000
BAR004-1,5.9231,-39.000
BAR004-4,5.3248,-70.000
BAR001-3,10.1111,-15.000
BAR001-6,5.3248,-45.000
BAR002-3,17.8889,-15.000
BAR002-2,11.3077,-39.000
RT0301,5.4493,-1.000
RT0202,5.4493,-2.000
RT0057,5.4493,-2.000
RT0218,5.4493,-1.000
RT0106,4.3484,-32.000
RT0302,5.4493,-6.000
YH-RSHZB-4 ,7.7846,-77.000
YH-RSZXB-4,8.9012,-11.000
RS-YYL-2,9.9573,-39.000
RS-YYL-1,9.4304,-41.000
RT-0020,2.2335,-270.000
83002,11.3932,-123.000
83005,9.6752,-201.000
83049,21.1282,-150.000
83062,15.4017,-48.000
cp-bar003,10.4817,-2.000
cp-bar002,10.4817,-16.000
CATRMK-001-CH,12.5983,-1.000
