货品编号,单价,数量
3501,11.2650,-2.000
2008,3.7692,-7.000
9918,3.7692,-2.000
TK909,15.3582,-22.000
2028,3.5897,-6.000
851,4.1282,-12.000
988-24,7.5644,-128.000
1017,8.2013,-2.000
3514,15.6496,-2.000
AB03 ,5.6025,-183.000
LV-006d,2.6923,-1.000
Az-009b,0.7778,-1.000
TDS,4.3077,-1.000
CDS,2.5983,-1.000
1160,2.7607,-1.000
7713,4.1282,-1.000
LB0033,2.8718,-3.000
2013A,7.1346,-6.000
1110A,9.2222,-18.000
2062,5.0128,-1.000
TK705,7.6068,-16.000
1077A,4.1282,-146.000
1078A,8.9145,-1.000
LLD001,4.3975,-17.000
LLD002,2.3504,-15.000
1115A,2.6923,-52.000
NO.202,4.1282,-4.000
101001,2.3983,-2.000
83001,11.7949,-12.000
C-SOC,6.6051,-4.000
FP06,3.8974,-3.000
82004,3.7744,-1.000
NO.190,7.6154,-2.000
TY-077,3.2333,-88.000
TY-066,0.8119,-766.000
TY-073,1.6513,-2.000
TY-091,2.4664,-39.000
TY-011,0.8256,-306.000
ZH101,7.8462,-4.000
ZH6151,5.8119,-91.000
LM-K932,0.8120,-3.000
NO.308,5.2991,-2.000
NO.307,7.3077,-2.000
RS-387,5.3941,-1.000
988-36,12.0984,-85.000
YZ1269,2.6971,-16.000
WCN-NB547,3.2307,-46.000
WCN-NB587,5.1740,-1.000
WCN-NA457,4.9658,-33.000
WCN-NA537,1.9145,-3.000
WCN-NA547,2.0299,-110.000
WCN-NA657,1.4862,-1.000
WCN-SA557,2.9915,-3.000
WCN-SA657,1.6513,-2.000
RS-3424,2.8677,-4.000
YF808,4.1282,-1.000
ZH6161,6.7068,-2.000
CH6710,6.4145,-1.000
NO.299,5.7393,-2.000
NO.191,4.7222,-2.000
RS-DWT,3.1924,-11.000
RS-XZT,5.9231,-1.000
RS-WT2,5.4493,-2.000
CH6700,7.1923,-10.000
E1541,1.3210,-7.000
C-FW,3.7979,-2.000
C-SFI,5.9231,-173.000
C-SEK,4.3484,-2.000
SZA,7.7735,-1.000
2221,12.6048,-16.000
H-893,4.0000,-120.000
SAU001-8,5.6496,-1.000
BAR001,14.0406,-30.000
6215-4,16.3282,-1.000
NO.194,4.1880,-2.000
C-SEK001I,4.3484,-1.000
BON001-1,8.9744,-8.000
CSFE001I,5.2650,-3.000
SZU,4.8438,-6.000
C-SFI007A/B,6.8923,-9.000
CZC001I-A/B,5.9231,-44.000
831,6.8461,-3.000
WCN-DS6000,9.1538,-96.000
818,21.9621,-7.000
MB-953-1,9.9232,-2.000
MB-955-1,6.5501,-9.000
905-12,6.4103,-170.000
MB-955-2,5.4493,-15.000
WCN-G580AK,6.5501,-1.000
WCN-LL0101,8.3162,-1.000
WCN-N1050,2.3118,-1.000
YZ3601,8.3047,-5.000
WCN-R0080,5.3248,-3.000
C-SPF1001,4.1282,-9.000
CFC0006I,1.0459,-1.000
C-SPY003V,5.3248,-1.000
CLLL0004I,1.7350,-31.000
C-HDQB,5.9231,-1.000
C-SDCY,2.9316,-22.000
6101,59.6581,-9.000
