货品编号,单价,数量
3501,11.2650,-13.000
883-2,2.9316,-1.000
128-I,5.6026,-23.000
988-24,7.7778,-169.000
3514,15.6496,-4.000
AB03 ,5.6025,-30.000
Az-009b,0.7778,-3.000
1160,2.9316,-1.000
7713,4.4872,-5.000
LB0033,2.8718,-6.000
2013A,9.5128,-1.000
1110A,9.2222,-24.000
2062,5.2991,-7.000
TK705,8.0385,-11.000
1077A,4.1282,-29.000
1078A,8.9145,-7.000
LLD001,4.3975,-221.000
LLD002,3.0489,-20.000
1115A,2.6923,-504.000
NO.202,4.1282,-12.000
101001,2.3983,-6.000
83001,11.7949,-14.000
C-SOC,6.8205,-3.000
1330,2.8333,-3.000
TY-077,3.2333,-3.000
TY-066,0.8119,-74.000
TY-091,2.4664,-55.000
ZH6151,5.8119,-408.000
NO.306,3.5043,-10.000
988-36,12.0984,-162.000
WCN-NA547,2.0299,-193.000
WCN-SB587,5.8632,-1.000
WCN-SA787,1.9145,-1.000
ZH6161,6.7068,-32.000
NO.191,5.0855,-1.000
RS-DWT,3.1924,-3.000
3522-10,11.3077,-1.000
E1541,1.4359,-4.000
E1131金,1.5962,-15.000
C-FW,3.7979,-11.000
C-SFI,5.9231,-10.000
SZA,7.7735,-286.000
2221,12.9103,-51.000
6215-4,16.3282,-71.000
WS-QU,2.2735,-1.000
CSC020,4.2934,-2.000
C-SEO202I,5.9231,-2.000
BON001-1,8.9744,-22.000
CSFE001I,5.2650,-3.000
SZU,5.2650,-16.000
WSQS,7.0455,-1.000
BA66,4.7265,-7.000
WCN-TFB2610,6.4150,-1.000
WCN-TCF6110,1.9744,-2.000
CSG-250,9.8526,-2.000
MB-959-3,39.7863,-307.000
MB-955-1,7.1197,-5.000
905-12,6.4103,-5.000
WCN-LL0101,8.3162,-2.000
YZ3601,8.3047,-2.000
C-SPF1001,4.4872,-3.000
CFC0006I,1.0459,-11.000
C-SDCY,2.9316,-6.000
LS1082A,5.6026,-69.000
TK718,14.0131,-1.000
TK1605,20.5000,-3.000
YZ1507,2.1466,-2.000
2017A1655,29.8547,-3.000
2017A2555,19.6838,-430.000
2223,14.8858,-13.000
6300-24,10.7154,-55.000
6817,3.2475,-96.000
YZ1429,3.2475,-7.000
BL-057,13.3105,-4.000
BL-061,10.7094,-20.000
LT6201-01,3.9786,-1.000
F1-056-D,7.5635,-31.000
RS-JXYZB,0.8974,-641.000
RS-HZXP,0.8256,-29.000
WB-558,8.8205,-113.000
BY15315,21.5385,-2.000
BF15609,17.3504,-285.000
BP15903,11.3675,-1.000
BAR004-7,10.1111,-2.000
BAR004-2,5.3248,-1.000
BAR001-3,10.1111,-1.000
BAR001-1,10.1111,-1.000
BAR001-4,6.5214,-1.000
BAR002-3,17.8889,-15.000
BAR002-2,11.3077,-4.000
RT0056,4.3484,-2.000
RT0202,5.4493,-8.000
RT0057,5.4493,-1.000
YH-RSZXB-4,8.9012,-46.000
SL-KS,3.6328,-60.000
RS-LH,2.5791,-2.000
RS-TTSL,10.7692,-3.000
RS-YYL-1,9.4304,-24.000
83002,11.3932,-1.000
cp-bar003,10.4817,-16.000
