货品编号,单价,数量
9918,4.1282,-9.000
TK909,15.3582,-10.000
2028,3.5897,-16.000
988-24,7.7778,-26.000
AB03 ,5.6025,-50.000
LV-006d,2.6923,-1.000
Az-009b,0.7778,-1.000
LB0033,2.8718,-3.000
2102,5.3846,-23.000
TK705,8.0385,-3.000
1077A,4.1282,-23.000
1078A,8.9145,-1.000
LLD001,4.3975,-1.000
NO.202,4.1282,-65.000
C-SOC,6.8205,-5.000
TY-077,3.2333,-1.000
TY-066,0.8119,-24.000
TY-073,1.6513,-24.000
TY-091,2.4664,-26.000
TY-011,0.8256,-1.000
ZH6151,5.8119,-6.000
NO.308,5.2991,-34.000
NO.306,3.5043,-78.000
988-36,12.0984,-1.000
YZ1269,2.9316,-4.000
WCN-NB547,3.2307,-57.000
RS-3424,2.8677,-230.000
3522-10,11.3077,-4.000
B-560-11,8.4120,-14.000
C-FW,4.1282,-14.000
SZA,7.7735,-2.000
2221,12.9103,-5.000
SAU001-8,5.6496,-1.000
6215-4,16.3282,-10.000
BON001-1,8.9744,-26.000
BA66,4.7265,-126.000
MB-955-1,7.1197,-1.000
905-12,6.4103,-2.000
YZ3601,8.4892,-3.000
CLLL0004I,1.7350,-55.000
LS1082A,5.6026,-26.000
YZ1507,2.1466,-5.000
2017A2555,19.6838,-21.000
2223,14.8858,-2.000
6300-24,10.7154,-1.000
3558,8.0385,-28.000
BD-191,9.3022,-1.000
6817,3.2475,-1.000
YZ1429,3.2475,-10.000
E1046,7.1595,-105.000
F3-053,4.6320,-60.000
ZZ0112-01,4.1282,-98.000
RS-HZXP,0.8256,-11.000
WB-558,8.8205,-32.000
GS,2.0342,-35.000
BAR004-5,5.9231,-1.000
BAR004-2,5.3248,-12.000
BAR001-6,5.3248,-72.000
BAR002-2,11.3077,-29.000
RT0003,5.4493,-12.000
RT0302,5.4493,-1.000
F2-238,3.4593,-14.000
YH-RSHZB-4 ,7.7846,-44.000
YH-RSZXB-4,8.9012,-39.000
RT-0020,2.2335,-88.000
TK715,18.8402,-1.000
83002,11.3932,-12.000
83005,9.6752,-24.000
83049,21.1282,-23.000
