货品编号,单价,数量
3501,10.4975,-24.000
883-2,2.9316,-1.000
2008,3.7692,-11.000
9918,3.7692,-1.000
TK909,15.3582,-2.000
988-24,7.5644,-1.000
AB03 ,5.6025,-11.000
Az-009b,0.7778,-461.000
CQZS,2.7350,-1.000
7713,4.4872,-2.000
LB0033,2.8718,-1.000
2013A,7.1346,-3.000
1110A,9.2222,-3.000
TX,1.5834,-1.000
TK705,7.6068,-2.000
1077A,4.1282,-6.000
1078A,8.6496,-41.000
LLD002,2.3504,-5.000
83001,11.7949,-12.000
1330,2.9316,-1.000
NO.190,7.6154,-1.000
TY-077,3.2333,-31.000
TY-084,7.2222,-441.000
TY-066,0.8119,-18.000
TY-073,1.7949,-1.000
TY-011,0.8974,-3.000
ZH6151,5.8119,-11.000
LM-K932,0.8120,-3.000
NO.308,4.7906,-1.000
RS-387,5.3941,-1.000
988-36,12.0984,-36.000
YZ1269,2.9316,-10.000
WCN-NA457,4.9658,-8.000
WCN-SA787,1.9145,-28.000
RS-3424,2.8677,-2.000
YF808,4.1282,-2.000
ZH6161,6.7068,-2.000
NO.2106,5.7393,-14.000
NO.191,4.7222,-1.000
RS-WT2,5.4493,-2.000
CH6700,7.1923,-5.000
3522-10,11.3077,-6.000
B-560-11,8.4120,-9.000
E1131金,1.7350,-1.000
C-SFI,5.9231,-29.000
SZA,7.7735,-3.000
2221,12.6048,-2.000
H-893,4.0000,-63.000
SAU001-8,5.1976,-1.000
CSC020,4.2934,-1.000
C-SEO202I,5.9231,-5.000
CZC001I-A/B,5.4493,-1.000
818,21.9621,-24.000
MB-953-1,9.9232,-9.000
MB-955-1,6.5501,-13.000
905-12,6.4103,-8.000
YZ3601,8.3047,-5.000
WCN-R0080,4.8988,-1.000
C-SDCY,2.9316,-1.000
6101,59.6581,-6.000
1641,8.8855,-1.000
LS1082A,5.6026,-96.000
TK718,12.0800,-1.000
TK1605,20.5000,-16.000
2017A2511,16.1624,-1.000
2017A4077,11.9658,-2.000
2017A1655,29.8547,-1.000
2017A2555,19.6838,-19.000
2223,14.8065,-1.000
6300-24,10.7154,-1.000
3558,8.0385,-2.000
3568,12.9103,-56.000
BD-180,7.7179,-31.000
BD-191,9.3022,-6.000
6817,3.2475,-5.000
YZ1429,3.2475,-2.000
BL-057,13.1552,-41.000
BL-061,10.7094,-3.000
ZZ0112-01,4.1282,-2.000
RS-JXYZB,0.8120,-3.000
RS-HZXP,0.8256,-4.000
WB-558,8.8205,-3.000
BJ15902,15.9880,-1.000
BC15001,14.3112,-1.000
BAR004-5,5.9231,-3.000
BAR004-1,5.9231,-11.000
BAR004-4,5.3248,-11.000
RT0056,4.3484,-1.000
RT0301,5.4493,-1.000
RT0202,5.4493,-3.000
RT0218,5.4493,-1.000
RT0106,4.3484,-36.000
RT0201,3.2475,-1.000
YH-RSHZB-4 ,7.7846,-48.000
YH-RSZXB-4,8.9012,-7.000
RS-YYL-2,9.9573,-4.000
RS-YYL-1,9.4304,-11.000
RT-0020,2.2335,-1.000
TK607-1,24.5667,-12.000
83005,9.6752,-12.000
