货品编号,单价,数量
883-2,2.9316,-1.000
CSG-100,7.1196,-2.000
2008,4.1282,-1.000
9918,4.1282,-7.000
TK909,15.3582,-18.000
128-I,5.6026,-46.000
2028,3.5897,-2.000
3505,7.4846,-10.000
988-24,7.7778,-121.000
1023,5.9231,-1.000
1017,8.2013,-1.000
3514,15.6496,-13.000
AB03 ,5.6025,-6.000
Az-009b,0.7778,-3.000
141,1.9829,-54.000
TDS,4.3077,-62.000
CDS,2.5983,-72.000
7713,4.4872,-2.000
LB0033,2.8718,-1.000
2102,5.3846,-48.000
2013A,9.5128,-2.000
1110A,9.2222,-2.000
TX,1.5834,-13.000
1295,1.3760,-4.000
2062,5.2991,-19.000
TK705,8.0385,-21.000
1077A,4.1282,-237.000
1078A,8.9145,-26.000
LLD001,4.3975,-123.000
LLD002,2.3504,-2.000
1115A,2.6923,-246.000
NO.202,4.1282,-191.000
C-SOC,6.8205,-6.000
FP06,3.8974,-26.000
D001,1.4529,0.000
NO.190,7.6154,-2.000
TY-077,3.2333,-357.000
TY-028,1.1966,-1.000
TY-066,0.8119,-243.000
TY-073,1.6513,-30.000
TY-091,2.4664,-61.000
TY-011,0.8256,-82.000
ZH6151,5.8119,-288.000
LM-K932,0.8120,-5.000
NO.308,5.2991,-2.000
NO.306,3.5043,-152.000
RS-387,5.8632,-5.000
HG-2663,5.6268,-1.000
988-36,12.0984,-128.000
YZ1269,2.9316,-4.000
WCN-NA457,4.9658,-1.000
WCN-NA547,2.0299,-1.000
WCN-NA657,1.6154,-1.000
WCN-SA557,2.9915,-1.000
WCN-SA587,4.6068,-2.000
WCN-SA657,1.7949,-1.000
WCN-SA757,1.1448,-1.000
RS-3424,2.8677,-10.000
ZH6161,6.7068,-8.000
CH6710,6.4145,-1.000
NO.299,5.7393,-16.000
RS-WT2,5.9231,-3.000
CH6700,7.1923,-5.000
3522-10,11.3077,-1.000
B-560-11,8.4120,-50.000
E1541,1.4359,-1.000
E1131金,1.7350,-4.000
C-FW,4.1282,-1.000
C-SFI,5.9231,-14.000
C-SEK,4.7265,-1.000
SZA,7.7735,-169.000
2221,12.9103,-13.000
SAU001-8,5.6496,-1.000
6215-4,16.3282,-59.000
887-4,5.3248,-1.000
NO.194,4.3590,-1.000
CSC020,4.2934,-2.000
BON001-1,8.9744,-68.000
CSFE001I,5.2650,-3.000
SZU,5.2650,-56.000
WSQS,7.1923,-2.000
BA66,4.7265,-210.000
C-SFI007A/B,6.8923,-4.000
CZC001I-A/B,5.6025,-51.000
831,6.8461,-3.000
WCN-DS6000,9.1538,-48.000
818,22.6783,0.000
MB-959-3,39.7863,-6.000
MB-953-1,9.9232,-6.000
MB-955-1,7.1197,-19.000
905-12,6.4103,-7.000
MB-955-2,5.9231,-2.000
WCN-G580AK,6.8461,-1.000
YZ3601,8.4892,-1.000
CFC0006I,1.0459,-2.000
C-SPY003V,5.3248,-1.000
C-MNJP,5.5385,-15.000
CLLL0004I,1.7350,-71.000
C-HDQB,5.9231,-9.000
C-SDCY,2.9316,-6.000
